session_id,scenario,window_id,start_frame,end_frame,activity,direction,people_count,participants,environment,selected_slot,moving_ratio,dx_mm,dy_mm,mean_vx_mm_s,mean_vy_mm_s,mean_speed_mm_s,median_speed_mm_s,max_speed_mm_s,p90_speed_mm_s,mean_accel_mm_s2,median_accel_mm_s2,max_accel_mm_s2,std_speed_mm_s,path_length_mm,net_displacement_mm,straightness
20260910_100219,STILL_1P_NA,0,29,38,STILL,NAN,1,P01,LAB01,0,0.0,-15.190000000000055,1.8550000000000182,-17.044750277409754,2.0814248796537,17.171407235033577,0.0,108.55710348566785,67.6969823267679,121.7020101970877,0.0,706.7858374702661,35.81183487208803,15.30288293486024,15.302846957347569,0.9999976489715812
20260910_100219,STILL_1P_NA,1,34,43,STILL,NAN,1,P01,LAB01,0,0.0,-80.704736459375,10.46779703593711,-90.66309990035563,11.759297991794499,90.51106415475667,119.24625732107422,151.8147019955919,151.8147019955919,170.30232300077034,20.975580202278298,706.7858374702661,64.64194862149287,81.38213559935707,81.38076714901835,0.9999831848804577
20260910_100219,STILL_1P_NA,2,39,48,STILL,NAN,1,P01,LAB01,0,0.0,-118.54493022319079,15.82959742652065,-146.05284554344342,19.410088755644313,146.42876938166268,149.64339237870593,151.8147019955919,151.8147019955919,63.44559404475022,25.339928893368832,239.98728876879133,7.06813592142,119.60114557872643,119.59714309425155,0.9999665347312895
20260910_100219,STILL_1P_NA,3,44,53,STILL,NAN,1,P01,LAB01,0,0.0,-99.34495868042475,12.805859599151518,-126.6596425413449,16.560334732944394,127.75486916999402,136.56801898147216,151.8147019955919,150.06554952958373,98.52097140431373,45.921929956059586,357.9707256389594,26.77386131652826,100.18082219119545,100.1669149734007,0.999861178841513
20260910_100219,STILL_1P_NA,4,49,58,STILL,NAN,1,P01,LAB01,0,0.0,-32.40608023229092,-0.334390928704579,-49.72060815310703,1.5365588676661752,67.37541289518649,49.26240502626972,134.5291098853793,130.8451814710985,144.869237381889,57.65555061474833,472.70145357117843,46.212606245240835,46.65856070531639,32.407805438117464,0.6945736205365812
20260910_100219,STILL_1P_NA,5,54,63,STILL,NAN,1,P01,LAB01,0,0.0,16.595049453847494,-20.500396253465624,16.46848454886718,-22.72597109117036,33.41192145903182,37.727705709878734,41.97267466060463,41.52905412492721,70.73344435584593,5.540627123142975,472.70145357117843,8.69648420817701,26.848846963951072,26.37540355946713,0.98236634127642
20260910_100219,STILL_1P_NA,6,59,68,STILL,NAN,1,P01,LAB01,0,0.0,18.965603655271025,-24.6274176956681,23.841502285851774,-31.017742880230845,39.26301133176095,40.59195679340792,41.97267466060463,41.52905412492721,24.09948978979215,5.540627123142975,101.82327214234212,3.9375867080632507,31.662104628967207,31.083819333629773,0.981735727864143
20260910_100219,STILL_1P_NA,7,64,73,STILL,NAN,1,P01,LAB01,0,0.0,15.29243589936766,-9.361145874524937,19.072351697241334,-14.054114144665153,27.79789098311945,27.359137966753284,40.138687511915506,40.138687511915506,31.934329699078695,24.783595163925835,101.82327214234212,10.609484897937989,20.7733861596025,17.930132398295445,0.8631299808580913
20260910_100219,STILL_1P_NA,8,69,78,STILL,NAN,1,P01,LAB01,0,0.0,5.759657313245015,-0.5292734172471683,8.13584693744437,-0.9476628244987074,13.243839144826742,12.310212153007736,26.62489083937898,23.19734219167886,30.686289098071597,28.06767925796054,66.42136185563643,6.652337069509272,9.396709080140063,5.783924508171012,0.6155266124387453
20260910_100219,STILL_1P_NA,9,74,83,STILL,NAN,1,P01,LAB01,0,0.0,-33.97630267412288,0.365547339090881,-39.41356832176889,0.23148824116108707,40.55022889357425,19.904875925617528,92.84514792076827,92.84514792076827,104.27057585949231,35.20085170096479,379.9973792464255,37.447737334684646,38.34712568820641,33.978269059219684,0.8860708188533056
20260910_100219,STILL_1P_NA,10,79,88,STILL,NAN,1,P01,LAB01,0,0.0,-44.40603167149473,-3.8861718224457036,-52.66011452260176,-3.9912112135124587,56.11976381348243,59.01547226860055,92.84514792076827,92.84514792076827,173.35650483857856,169.88972953804222,442.7325002049259,30.662296882697902,49.60682179650827,44.57575552072409,0.8985811609455232
20260910_100219,STILL_1P_NA,11,84,93,STILL,NAN,1,P01,LAB01,0,0.0,-9.902953349188849,11.106522064227192,-18.65238158110379,10.24232148473736,36.51208268736049,34.72538338307668,78.49914342705006,60.91764363222925,103.56084873058903,61.99388820122752,442.7325002049259,18.30977210298281,25.302633086464592,14.880299640779285,0.5880929304839567
20260910_100219,STILL_1P_NA,12,89,98,STILL,NAN,1,P01,LAB01,0,0.0,-14.786614143087618,7.11127715524799,-15.101317172553872,9.76697456425184,33.22553351204492,33.247066954549126,38.26888104672064,38.26888104672064,36.480384316122716,39.09581068881916,87.64590059675297,4.5145117457212125,26.904008648820145,16.40774879730034,0.609862604917795
20260910_100219,STILL_1P_NA,13,94,103,STILL,NAN,1,P01,LAB01,0,0.0,1.4672580234283146,-6.6858108034994075,-1.2900406683517232,-7.042577065132728,30.08819944188245,30.23155931949683,35.19577409650974,35.19577409650974,35.81012938522398,25.107830221483376,130.49955595015322,3.7178021614268384,23.99550023643952,6.844918714455575,0.2852584295809302
20260910_100219,STILL_1P_NA,14,99,108,STILL,NAN,1,P01,LAB01,0,0.0,-5.952613864596003,3.6545057029170493,-2.6380494888551063,2.060332959612253,27.184130927116847,29.82635786795337,30.23155931949683,30.23155931949683,31.510437625840403,4.562822493592261,130.49955595015322,3.679622859949629,20.99940823460236,6.984914011899774,0.33262432606982645
20260910_100219,STILL_1P_NA,15,104,113,STILL,NAN,1,P01,LAB01,0,0.0,6.856301606366415,-4.338103941889585,3.6258200037612043,-3.1162906867017126,28.90742394585941,26.48358815066997,55.81574320873134,36.46816668731508,50.78638551151373,18.300397111962916,241.67583552762878,10.095735713958165,20.699747873048448,8.11344671074511,0.391958721454236
20260910_100219,STILL_1P_NA,16,109,118,STILL,NAN,1,P01,LAB01,0,0.0,31.472262435103943,-12.108407695905044,37.58203452823751,-14.406407576517722,41.77265973698216,48.57671563549543,55.81574320873134,55.81574320873134,48.452335063812946,17.09636164615607,241.67583552762878,14.483841560451737,34.48837830539161,33.72116308365278,0.9777543839566707
20260910_100219,STILL_1P_NA,17,114,123,STILL,NAN,1,P01,LAB01,0,0.0,8.048521792599075,-4.8567081308233355,14.685119934231007,-6.529270073123629,53.34202610804535,49.77849205611285,86.51733679337411,58.88590256719561,79.54562110293986,19.86931900338673,405.60553893295105,12.2963378528476,37.25843757302152,9.400336000055942,0.25230086424404
