session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_110159,WALK_1P_AWAY,0.004,1921951,17,WALK,AWAY,1,P01,LAB01,0,1,-138,1523,8,360
20260910_110159,WALK_1P_AWAY,0.004,1921951,17,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.004,1921951,17,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.008,2010996,18,WALK,AWAY,1,P01,LAB01,0,1,-126,1541,-8,360
20260910_110159,WALK_1P_AWAY,0.008,2010996,18,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.008,2010996,18,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.010,2100229,19,WALK,AWAY,1,P01,LAB01,0,1,-114,1558,-16,360
20260910_110159,WALK_1P_AWAY,0.010,2100229,19,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.010,2100229,19,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.012,2189018,20,WALK,AWAY,1,P01,LAB01,0,1,-113,1569,-16,360
20260910_110159,WALK_1P_AWAY,0.012,2189018,20,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.012,2189018,20,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.015,2277946,21,WALK,AWAY,1,P01,LAB01,0,1,-102,1580,-8,360
20260910_110159,WALK_1P_AWAY,0.015,2277946,21,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.015,2277946,21,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.017,2366987,22,WALK,AWAY,1,P01,LAB01,0,1,-95,1582,-32,360
20260910_110159,WALK_1P_AWAY,0.017,2366987,22,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.017,2366987,22,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.018,2456182,23,WALK,AWAY,1,P01,LAB01,0,1,-89,1580,-32,360
20260910_110159,WALK_1P_AWAY,0.018,2456182,23,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.018,2456182,23,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.019,2545099,24,WALK,AWAY,1,P01,LAB01,0,1,-88,1593,-8,360
20260910_110159,WALK_1P_AWAY,0.019,2545099,24,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.019,2545099,24,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.020,2634403,25,WALK,AWAY,1,P01,LAB01,0,1,-80,1602,-32,360
20260910_110159,WALK_1P_AWAY,0.020,2634403,25,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.020,2634403,25,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.021,2723125,26,WALK,AWAY,1,P01,LAB01,0,1,-55,1592,-16,360
20260910_110159,WALK_1P_AWAY,0.021,2723125,26,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.021,2723125,26,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.023,2812052,27,WALK,AWAY,1,P01,LAB01,0,1,-37,1581,0,360
20260910_110159,WALK_1P_AWAY,0.023,2812052,27,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.023,2812052,27,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.024,2900975,28,WALK,AWAY,1,P01,LAB01,0,1,-50,1573,0,360
20260910_110159,WALK_1P_AWAY,0.024,2900975,28,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.024,2900975,28,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.025,2990105,29,WALK,AWAY,1,P01,LAB01,0,1,-62,1573,8,360
20260910_110159,WALK_1P_AWAY,0.025,2990105,29,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.025,2990105,29,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.026,3078939,30,WALK,AWAY,1,P01,LAB01,0,1,-72,1575,8,360
20260910_110159,WALK_1P_AWAY,0.026,3078939,30,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.026,3078939,30,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.026,3168043,31,WALK,AWAY,1,P01,LAB01,0,1,-85,1579,8,360
20260910_110159,WALK_1P_AWAY,0.026,3168043,31,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.026,3168043,31,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.028,3256656,32,WALK,AWAY,1,P01,LAB01,0,1,-98,1582,8,360
20260910_110159,WALK_1P_AWAY,0.028,3256656,32,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.028,3256656,32,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.029,3346016,33,WALK,AWAY,1,P01,LAB01,0,1,-107,1581,-8,360
20260910_110159,WALK_1P_AWAY,0.029,3346016,33,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.029,3346016,33,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.031,3434966,34,WALK,AWAY,1,P01,LAB01,0,1,-109,1574,-8,360
20260910_110159,WALK_1P_AWAY,0.031,3434966,34,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.031,3434966,34,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.032,3523946,35,WALK,AWAY,1,P01,LAB01,0,1,-112,1567,-16,360
20260910_110159,WALK_1P_AWAY,0.032,3523946,35,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.032,3523946,35,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.033,3612837,36,WALK,AWAY,1,P01,LAB01,0,1,-115,1561,-32,360
20260910_110159,WALK_1P_AWAY,0.033,3612837,36,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.033,3612837,36,WALK,AWAY,1,P01,LAB01,2,0,0,0,0,0
20260910_110159,WALK_1P_AWAY,0.034,3702257,37,WALK,AWAY,1,P01,LAB01,0,1,-120,1555,-32,360
20260910_110159,WALK_1P_AWAY,0.034,3702257,37,WALK,AWAY,1,P01,LAB01,1,0,0,0,0,0
