session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_112905,FAST_1P_AWAY,0.002,1859912,17,FAST,AWAY,1,P02,LAB01,0,1,52,468,0,360
20260910_112905,FAST_1P_AWAY,0.002,1859912,17,FAST,AWAY,1,P02,LAB01,1,1,788,954,0,360
20260910_112905,FAST_1P_AWAY,0.002,1859912,17,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112905,FAST_1P_AWAY,0.003,1948863,18,FAST,AWAY,1,P02,LAB01,0,1,54,465,0,360
20260910_112905,FAST_1P_AWAY,0.003,1948863,18,FAST,AWAY,1,P02,LAB01,1,1,798,951,0,360
20260910_112905,FAST_1P_AWAY,0.003,1948863,18,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112905,FAST_1P_AWAY,0.003,2037753,19,FAST,AWAY,1,P02,LAB01,0,1,56,461,0,360
20260910_112905,FAST_1P_AWAY,0.003,2037753,19,FAST,AWAY,1,P02,LAB01,1,1,808,946,0,360
20260910_112905,FAST_1P_AWAY,0.003,2037753,19,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112905,FAST_1P_AWAY,0.004,2126890,20,FAST,AWAY,1,P02,LAB01,0,1,55,454,0,360
20260910_112905,FAST_1P_AWAY,0.004,2126890,20,FAST,AWAY,1,P02,LAB01,1,1,818,941,0,360
20260910_112905,FAST_1P_AWAY,0.004,2126890,20,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112905,FAST_1P_AWAY,0.005,2215939,21,FAST,AWAY,1,P02,LAB01,0,1,54,450,0,360
20260910_112905,FAST_1P_AWAY,0.005,2215939,21,FAST,AWAY,1,P02,LAB01,1,1,827,937,0,360
20260910_112905,FAST_1P_AWAY,0.005,2215939,21,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112905,FAST_1P_AWAY,0.005,2304922,22,FAST,AWAY,1,P02,LAB01,0,1,59,445,0,360
20260910_112905,FAST_1P_AWAY,0.005,2304922,22,FAST,AWAY,1,P02,LAB01,1,1,836,932,0,360
