session_id,scenario,pc_time_s,esp_time_us,frame_id,activity,direction,people_count,participants,environment,target_slot,valid,x_mm,y_mm,speed_cm_s,resolution_mm
20260910_112813,FAST_1P_AWAY,0.002,1853547,17,FAST,AWAY,1,P02,LAB01,0,1,715,662,0,360
20260910_112813,FAST_1P_AWAY,0.002,1853547,17,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.002,1853547,17,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.002,1942620,18,FAST,AWAY,1,P02,LAB01,0,1,713,635,0,360
20260910_112813,FAST_1P_AWAY,0.002,1942620,18,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.002,1942620,18,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.003,2031668,19,FAST,AWAY,1,P02,LAB01,0,1,696,608,0,360
20260910_112813,FAST_1P_AWAY,0.003,2031668,19,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.003,2031668,19,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.004,2120520,20,FAST,AWAY,1,P02,LAB01,0,1,672,576,0,360
20260910_112813,FAST_1P_AWAY,0.004,2120520,20,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.004,2120520,20,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.004,2209882,21,FAST,AWAY,1,P02,LAB01,0,1,627,547,0,360
20260910_112813,FAST_1P_AWAY,0.004,2209882,21,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.004,2209882,21,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.005,2298553,22,FAST,AWAY,1,P02,LAB01,0,1,510,561,0,360
20260910_112813,FAST_1P_AWAY,0.005,2298553,22,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.005,2298553,22,FAST,AWAY,1,P02,LAB01,2,0,0,0,0,0
20260910_112813,FAST_1P_AWAY,0.006,2387318,23,FAST,AWAY,1,P02,LAB01,0,1,280,613,0,360
20260910_112813,FAST_1P_AWAY,0.006,2387318,23,FAST,AWAY,1,P02,LAB01,1,0,0,0,0,0
